feature,weight,abs_weight
is_singleton,1.4443996,1.4443996
col_k_avg,1.1286772,1.1286772
peers_avg_k,1.0425068,1.0425068
claiming_row,0.7562514,0.7562514
is_row_edge,-0.75274444,0.75274444
row_empties,-0.6132222,0.6132222
grid_entropy,0.57290673,0.57290673
box_empties,-0.49874166,0.49874166
box_k_avg,0.45726585,0.45726585
peers_singletons,0.42618504,0.42618504
col_places_d,-0.3977917,0.3977917
row_singles,-0.355232,0.355232
row_places_d,-0.3396365,0.3396365
k_cand,-0.31452462,0.31452462
claiming_col,0.30413198,0.30413198
box_hidden_d,0.2587757,0.2587757
col_entropy,0.2579002,0.2579002
is_col_edge,0.2459825,0.2459825
row_k_max,-0.24585746,0.24585746
col_fishy,0.22163425,0.22163425
box_places_d,-0.22094852,0.22094852
row_hidden_d,-0.21572307,0.21572307
box_fishy,0.2023151,0.2023151
row_k_avg,0.19303095,0.19303095
row_k_min,0.17765337,0.17765337
peers_max_k,-0.16905177,0.16905177
col_ge4,-0.16290164,0.16290164
col_twos,0.1468527,0.1468527
box_ge4,-0.14674102,0.14674102
peers_with_d,0.14475037,0.14475037
box_k_min,0.14244518,0.14244518
row_ge4,0.13925447,0.13925447
peers_empty,-0.13742372,0.13742372
col_k_min,0.1359921,0.1359921
is_center_box,0.1330011,0.1330011
box_naked_triple,0.12682341,0.12682341
row_naked_triple,-0.12517817,0.12517817
box_singles,-0.11419914,0.11419914
row_fishy,0.11238477,0.11238477
box_threes,-0.10463761,0.10463761
pointing_col,0.10100126,0.10100126
box_entropy,0.08519477,0.08519477
col_hidden_d,0.08300918,0.08300918
grid_singles,-0.08153369,0.08153369
grid_ge4,0.078557,0.078557
col_k_max,-0.06947116,0.06947116
col_naked_triple,0.062518485,0.062518485
box_naked_pair,0.05890425,0.05890425
row_twos,-0.051717926,0.051717926
col_threes,-0.04724127,0.04724127
box_k_max,0.042725623,0.042725623
grid_threes,0.040838927,0.040838927
col_empties,-0.025255976,0.025255976
row_threes,-0.016049378,0.016049378
pointing_row,-0.014974921,0.014974921
grid_twos,0.014843884,0.014843884
row_entropy,-0.010892587,0.010892587
col_naked_pair,-0.007894342,0.007894342
col_singles,0.0064844424,0.0064844424
row_naked_pair,-0.0052509066,0.0052509066
box_twos,0.0004175605,0.0004175605
